wave,wave_error,dppm,dppm_err,order
0.82083, 0.00025, 14404.50, 636.60, 2
0.82123, 0.00020, 15209.50, 665.20, 2
0.82173, 0.00025, 14667.10, 788.10, 2
0.82213, 0.00020, 14843.20, 696.30, 2
0.82263, 0.00025, 14122.40, 664.20, 2
0.82313, 0.00025, 12870.70, 604.90, 2
0.82353, 0.00020, 13577.50, 607.20, 2
0.82403, 0.00025, 13481.20, 739.60, 2
0.82453, 0.00025, 14535.40, 671.70, 2
0.82493, 0.00020, 14147.80, 635.30, 2
0.82543, 0.00025, 15347.40, 752.40, 2
0.82583, 0.00020, 14687.00, 674.10, 2
0.82633, 0.00025, 14141.20, 580.00, 2
0.82683, 0.00025, 14331.20, 694.20, 2
0.82723, 0.00020, 14037.60, 676.50, 2
0.82773, 0.00025, 15812.10, 633.40, 2
0.82823, 0.00025, 14481.40, 714.80, 2
0.82863, 0.00020, 14364.60, 726.70, 2
0.82913, 0.00025, 13643.40, 610.40, 2
0.82953, 0.00020, 14440.90, 704.00, 2
0.83003, 0.00025, 14651.60, 658.10, 2
0.83053, 0.00025, 14943.40, 674.30, 2
0.83093, 0.00020, 14398.60, 739.00, 2
0.83143, 0.00025, 14388.30, 733.10, 2
0.83193, 0.00025, 14780.40, 963.10, 2
0.83233, 0.00020, 13481.10, 704.20, 2
0.83283, 0.00025, 13725.60, 641.60, 2
0.83333, 0.00025, 13659.40, 644.10, 2
0.83373, 0.00020, 14916.50, 794.10, 2
0.83423, 0.00025, 13895.60, 717.20, 2
0.83463, 0.00020, 15232.10, 935.70, 2
0.83513, 0.00025, 15240.40, 724.40, 2
0.83563, 0.00025, 13103.20, 718.80, 2
0.83603, 0.00020, 15014.00, 740.30, 2
0.83653, 0.00025, 13621.70, 752.10, 2
0.83703, 0.00025, 14009.80, 695.20, 2
0.83743, 0.00020, 14423.80, 713.40, 2
0.83793, 0.00025, 12546.10, 819.90, 2
0.83843, 0.00025, 14797.30, 640.40, 2
0.83883, 0.00020, 14658.80, 741.40, 2
0.83933, 0.00025, 15776.20, 736.70, 2
0.83983, 0.00025, 14173.50, 696.20, 2
0.84023, 0.00020, 15091.00, 708.90, 2
0.84073, 0.00025, 14998.20, 771.70, 2
0.84123, 0.00025, 14220.40, 748.50, 2
0.84163, 0.00020, 14433.80, 675.50, 2
0.84213, 0.00025, 13516.30, 638.80, 2
0.84253, 0.00020, 16013.10, 744.70, 2
0.84303, 0.00025, 14793.30, 708.20, 2
0.84353, 0.00025, 15740.00, 702.90, 2
0.85033, 0.00040, 13892.00, 732.10, 1
0.85113, 0.00040, 14170.20, 453.80, 1
0.85203, 0.00045, 15317.70, 408.60, 1
0.85293, 0.00045, 14022.20, 501.40, 1
0.85383, 0.00045, 14733.90, 690.50, 1
0.85473, 0.00045, 13752.70, 436.60, 1
0.85564, 0.00045, 13854.40, 481.20, 1
